VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,charge_freq
5LMYJ8XY7P,Wa,2023,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ8XY8L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ8XY8M,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,5
5LMYJ8XY8N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ8XY9M,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ8XY9N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ8XYXL,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ8XYXM,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ8XYXN,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,3
5LMYJ9YY0L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YY0M,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY0N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YY1L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,3
5LMYJ9YY1N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YY2N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY3L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,3
5LMYJ9YY3N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY4L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY4M,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YY4N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY5N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,4
5LMYJ9YY7M,Wa,2021,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YY8L,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,1
5LMYJ9YY8N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,5
5LMYJ9YY9N,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,3
5LMYJ9YYXL,Wa,2020,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5LMYJ9YYXN,Wa,2022,Lincoln,Aviator,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,21,0,2
5UXKT0C30H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,11
5UXKT0C31H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,15
5UXKT0C32H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,8
5UXKT0C33H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,10
5UXKT0C34H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,17
5UXKT0C35H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,10
5UXKT0C36H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,12
5UXKT0C37H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,15
5UXKT0C38H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,15
5UXKT0C39H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,14
5UXKT0C3XH,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,10
5UXKT0C50G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,18
5UXKT0C50H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,1
5UXKT0C50J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,19
5UXKT0C51G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,10
5UXKT0C51H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,4
5UXKT0C51J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,14
5UXKT0C52G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,19
5UXKT0C52H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,5
5UXKT0C52J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,14
5UXKT0C53G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,9
5UXKT0C53H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,5
5UXKT0C53J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,12
5UXKT0C54G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,17
5UXKT0C54H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,2
5UXKT0C54J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,19
5UXKT0C55G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,8
5UXKT0C55H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,4
5UXKT0C55J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,19
5UXKT0C56G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,22
5UXKT0C56H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,3
5UXKT0C56J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,10
5UXKT0C57G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,17
5UXKT0C57H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,5
5UXKT0C57J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,17
5UXKT0C58G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,14
5UXKT0C58H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,3
5UXKT0C58J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,19
5UXKT0C59G,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,22
5UXKT0C59H,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,2
5UXKT0C59J,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,18
5UXKT0C5XG,Wa,2016,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,13
5UXKT0C5XH,Wa,2017,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,14,0,4
5UXKT0C5XJ,Wa,2018,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,13,0,20
5UXTA6C00M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,19
5UXTA6C00N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,48
5UXTA6C01M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,27
5UXTA6C01N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,50
5UXTA6C02M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,21
5UXTA6C02N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,51
5UXTA6C03M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,36
5UXTA6C03N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,42
5UXTA6C04M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,24
5UXTA6C04N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,48
5UXTA6C05M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,26
5UXTA6C05N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,68
5UXTA6C06M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,33
5UXTA6C06N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,51
5UXTA6C07M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,28
5UXTA6C07N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,57
5UXTA6C08M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,30
5UXTA6C08N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,49
5UXTA6C09M,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,23
5UXTA6C09N,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,53
5UXTA6C0XM,Wa,2021,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,33
5UXTA6C0XN,Wa,2022,Bmw,X5,Plug-In Hybrid Electric Vehicle (Phev),Clean Alternative Fuel Vehicle Eligible,30,0,60
5UXTS1C00L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,10
5UXTS1C00M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,14
5UXTS1C01L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,11
5UXTS1C01M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,24
5UXTS1C02L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,10
5UXTS1C02M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,20
5UXTS1C03L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,4
5UXTS1C03M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,18
5UXTS1C04L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,10
5UXTS1C04M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,18
5UXTS1C05L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,6
5UXTS1C05M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,24
5UXTS1C06L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,3
5UXTS1C06M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,22
5UXTS1C07L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,7
5UXTS1C07M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,17
5UXTS1C08L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,8
5UXTS1C08M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,23
5UXTS1C09L,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,6
5UXTS1C09M,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,17
5UXTS1C0XL,Wa,2020,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,5
5UXTS1C0XM,Wa,2021,Bmw,X3,Plug-In Hybrid Electric Vehicle (Phev),Not Eligible Due To Low Battery Range,17,0,15
5YJ3E1E19J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,1
5YJ3E1EA0H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,5
5YJ3E1EA0J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,264
5YJ3E1EA0K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,147
5YJ3E1EA0L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,144
5YJ3E1EA0M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,122
5YJ3E1EA0N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,73
5YJ3E1EA0P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,12
5YJ3E1EA1H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,4
5YJ3E1EA1J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,273
5YJ3E1EA1K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,144
5YJ3E1EA1L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,141
5YJ3E1EA1M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,152
5YJ3E1EA1N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,80
5YJ3E1EA1P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,11
5YJ3E1EA2H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,10
5YJ3E1EA2J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,246
5YJ3E1EA2K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,151
5YJ3E1EA2L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,139
5YJ3E1EA2M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,144
5YJ3E1EA2N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,89
5YJ3E1EA2P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,25
5YJ3E1EA3H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,2
5YJ3E1EA3J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,260
5YJ3E1EA3K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,139
5YJ3E1EA3L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,129
5YJ3E1EA3M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,127
5YJ3E1EA3N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,99
5YJ3E1EA3P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,29
5YJ3E1EA4H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,5
5YJ3E1EA4J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,246
5YJ3E1EA4K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,152
5YJ3E1EA4L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,135
5YJ3E1EA4M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,137
5YJ3E1EA4N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,86
5YJ3E1EA4P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,22
5YJ3E1EA5H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,13
5YJ3E1EA5J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,261
5YJ3E1EA5K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,179
5YJ3E1EA5L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,127
5YJ3E1EA5M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,139
5YJ3E1EA5N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,76
5YJ3E1EA5P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,27
5YJ3E1EA6H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,6
5YJ3E1EA6J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,248
5YJ3E1EA6K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,161
5YJ3E1EA6L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,129
5YJ3E1EA6M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,119
5YJ3E1EA6N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,84
5YJ3E1EA6P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,23
5YJ3E1EA7H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,3
5YJ3E1EA7J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,250
5YJ3E1EA7K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,148
5YJ3E1EA7L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,134
5YJ3E1EA7M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,152
5YJ3E1EA7N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,165
5YJ3E1EA7P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,19
5YJ3E1EA8H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,3
5YJ3E1EA8J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,220
5YJ3E1EA8K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,148
5YJ3E1EA8L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,123
5YJ3E1EA8M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,151
5YJ3E1EA8N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,158
5YJ3E1EA8P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,14
5YJ3E1EA9H,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,7
5YJ3E1EA9J,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,248
5YJ3E1EA9K,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,158
5YJ3E1EA9L,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,149
5YJ3E1EA9M,Wa,2021,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,138
5YJ3E1EA9N,Wa,2022,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,91
5YJ3E1EA9P,Wa,2023,Tesla,Model 3,Battery Electric Vehicle (Bev),Eligibility Unknown As Battery Range Has Not Been Researched,0,0,24
5YJ3E1EAXH,Wa,2017,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,4
5YJ3E1EAXJ,Wa,2018,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,215,0,235
5YJ3E1EAXK,Wa,2019,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,220,0,173
5YJ3E1EAXL,Wa,2020,Tesla,Model 3,Battery Electric Vehicle (Bev),Clean Alternative Fuel Vehicle Eligible,266,0,135
